Dataset,Fold,Classifier,Resampler,Metric,Score
cleveland-0_vs_4,7,CART,PAU,Precision,0.06666666666666668
cleveland-0_vs_4,7,CART,PAU,Recall,0.8333333333333334
cleveland-0_vs_4,7,CART,PAU,AUC,0.4791666666666667
cleveland-0_vs_4,7,CART,PAU,G-mean,0.32274861218395146
cleveland-0_vs_4,7,KNN,PAU,Precision,0.4
cleveland-0_vs_4,7,KNN,PAU,Recall,0.6666666666666666
cleveland-0_vs_4,7,KNN,PAU,AUC,0.7958333333333333
cleveland-0_vs_4,7,KNN,PAU,G-mean,0.7852812659593165
cleveland-0_vs_4,7,SVM,PAU,Precision,0.3333333333333333
cleveland-0_vs_4,7,SVM,PAU,Recall,1.0
cleveland-0_vs_4,7,SVM,PAU,AUC,0.925
cleveland-0_vs_4,7,SVM,PAU,G-mean,0.9219544457292888
cleveland-0_vs_4,7,MLP,PAU,Precision,0.2727272727272727
cleveland-0_vs_4,7,MLP,PAU,Recall,1.0
cleveland-0_vs_4,7,MLP,PAU,AUC,0.9
cleveland-0_vs_4,7,MLP,PAU,G-mean,0.8944271909999159
yeast4,0,CART,RBU,Precision,0.13157894736842105
yeast4,0,CART,RBU,Recall,0.8
yeast4,0,CART,RBU,AUC,0.8079497907949791
yeast4,0,CART,RBU,G-mean,0.8079106790183965
yeast4,0,KNN,RBU,Precision,0.15555555555555556
yeast4,0,KNN,RBU,Recall,0.84
yeast4,0,KNN,RBU,AUC,0.8405020920502092
yeast4,0,KNN,RBU,G-mean,0.8405019420824389
yeast4,0,SVM,RBU,Precision,0.1891891891891892
yeast4,0,SVM,RBU,Recall,0.84
yeast4,0,SVM,RBU,AUC,0.8572384937238493
yeast4,0,SVM,RBU,G-mean,0.8570651488983011
yeast4,0,MLP,RBU,Precision,0.14492753623188406
yeast4,0,MLP,RBU,Recall,0.8
yeast4,0,MLP,RBU,AUC,0.8177126917712692
yeast4,0,MLP,RBU,G-mean,0.8175208296025434
ecoli-0-6-7_vs_5,6,CART,PAO,Precision,0.6666666666666666
ecoli-0-6-7_vs_5,6,CART,PAO,Recall,0.8
ecoli-0-6-7_vs_5,6,CART,PAO,AUC,0.88
ecoli-0-6-7_vs_5,6,CART,PAO,G-mean,0.8763560920082658
ecoli-0-6-7_vs_5,6,KNN,PAO,Precision,0.8
ecoli-0-6-7_vs_5,6,KNN,PAO,Recall,0.8
ecoli-0-6-7_vs_5,6,KNN,PAO,AUC,0.89
ecoli-0-6-7_vs_5,6,KNN,PAO,G-mean,0.8854377448471462
ecoli-0-6-7_vs_5,6,SVM,PAO,Precision,0.8888888888888888
ecoli-0-6-7_vs_5,6,SVM,PAO,Recall,0.8
ecoli-0-6-7_vs_5,6,SVM,PAO,AUC,0.895
ecoli-0-6-7_vs_5,6,SVM,PAO,G-mean,0.8899438184514795
ecoli-0-6-7_vs_5,6,MLP,PAO,Precision,0.8888888888888888
ecoli-0-6-7_vs_5,6,MLP,PAO,Recall,0.8
ecoli-0-6-7_vs_5,6,MLP,PAO,AUC,0.895
ecoli-0-6-7_vs_5,6,MLP,PAO,G-mean,0.8899438184514795
cleveland-0_vs_4,5,CART,PAO,Precision,0.35714285714285715
cleveland-0_vs_4,5,CART,PAO,Recall,0.8333333333333334
cleveland-0_vs_4,5,CART,PAO,AUC,0.8604166666666667
cleveland-0_vs_4,5,CART,PAO,G-mean,0.8599903100229288
cleveland-0_vs_4,5,KNN,PAO,Precision,0.5555555555555556
cleveland-0_vs_4,5,KNN,PAO,Recall,0.8333333333333334
cleveland-0_vs_4,5,KNN,PAO,AUC,0.8916666666666667
cleveland-0_vs_4,5,KNN,PAO,G-mean,0.8897565210026093
cleveland-0_vs_4,5,SVM,PAO,Precision,0.6666666666666666
cleveland-0_vs_4,5,SVM,PAO,Recall,0.6666666666666666
cleveland-0_vs_4,5,SVM,PAO,AUC,0.8208333333333332
cleveland-0_vs_4,5,SVM,PAO,G-mean,0.8062257748298549
cleveland-0_vs_4,5,MLP,PAO,Precision,0.5555555555555556
cleveland-0_vs_4,5,MLP,PAO,Recall,0.8333333333333334
cleveland-0_vs_4,5,MLP,PAO,AUC,0.8916666666666667
cleveland-0_vs_4,5,MLP,PAO,G-mean,0.8897565210026093
winequality-red-4,6,CART,RBO,Precision,0.05263157894736842
winequality-red-4,6,CART,RBO,Recall,0.07407407407407407
winequality-red-4,6,CART,RBO,AUC,0.5137511379425997
winequality-red-4,6,CART,RBO,G-mean,0.2657523494633087
winequality-red-4,6,KNN,RBO,Precision,0.1509433962264151
winequality-red-4,6,KNN,RBO,Recall,0.2962962962962963
winequality-red-4,6,KNN,RBO,AUC,0.6190407742801016
winequality-red-4,6,KNN,RBO,G-mean,0.5282494506880899
winequality-red-4,6,SVM,RBO,Precision,0.08235294117647059
winequality-red-4,6,SVM,RBO,Recall,0.25925925925925924
winequality-red-4,6,SVM,RBO,AUC,0.5791768482583489
winequality-red-4,6,SVM,RBO,G-mean,0.4828028146225786
winequality-red-4,6,MLP,RBO,Precision,0.13043478260869565
winequality-red-4,6,MLP,RBO,Recall,0.2222222222222222
winequality-red-4,6,MLP,RBO,AUC,0.5852378898950698
winequality-red-4,6,MLP,RBO,G-mean,0.4590457632882265
page-blocks-1-3_vs_4,8,CART,RBU,Precision,0.325
page-blocks-1-3_vs_4,8,CART,RBU,Recall,0.9285714285714286
page-blocks-1-3_vs_4,8,CART,RBU,AUC,0.9034749034749034
page-blocks-1-3_vs_4,8,CART,RBU,G-mean,0.9031262733621837
page-blocks-1-3_vs_4,8,KNN,RBU,Precision,0.2333333333333333
page-blocks-1-3_vs_4,8,KNN,RBU,Recall,1.0
page-blocks-1-3_vs_4,8,KNN,RBU,AUC,0.8963963963963963
page-blocks-1-3_vs_4,8,KNN,RBU,G-mean,0.8903891243679882
page-blocks-1-3_vs_4,8,SVM,RBU,Precision,0.29411764705882354
page-blocks-1-3_vs_4,8,SVM,RBU,Recall,0.7142857142857143
page-blocks-1-3_vs_4,8,SVM,RBU,AUC,0.8030888030888031
page-blocks-1-3_vs_4,8,SVM,RBU,G-mean,0.7981639161636143
page-blocks-1-3_vs_4,8,MLP,RBU,Precision,0.5185185185185185
page-blocks-1-3_vs_4,8,MLP,RBU,Recall,1.0
page-blocks-1-3_vs_4,8,MLP,RBU,AUC,0.9707207207207208
page-blocks-1-3_vs_4,8,MLP,RBU,G-mean,0.9702790533869324
yeast-0-3-5-9_vs_7-8,2,CART,RBO,Precision,0.3043478260869565
yeast-0-3-5-9_vs_7-8,2,CART,RBO,Recall,0.28
yeast-0-3-5-9_vs_7-8,2,CART,RBO,AUC,0.6049122807017544
yeast-0-3-5-9_vs_7-8,2,CART,RBO,G-mean,0.5102458987517513
yeast-0-3-5-9_vs_7-8,2,KNN,RBO,Precision,0.35
yeast-0-3-5-9_vs_7-8,2,KNN,RBO,Recall,0.56
yeast-0-3-5-9_vs_7-8,2,KNN,RBO,AUC,0.7229824561403508
yeast-0-3-5-9_vs_7-8,2,KNN,RBO,G-mean,0.7043723098455766
yeast-0-3-5-9_vs_7-8,2,SVM,RBO,Precision,0.24
yeast-0-3-5-9_vs_7-8,2,SVM,RBO,Recall,0.72
yeast-0-3-5-9_vs_7-8,2,SVM,RBO,AUC,0.735
yeast-0-3-5-9_vs_7-8,2,SVM,RBO,G-mean,0.7348469228349535
yeast-0-3-5-9_vs_7-8,2,MLP,RBO,Precision,0.2456140350877193
yeast-0-3-5-9_vs_7-8,2,MLP,RBO,Recall,0.56
yeast-0-3-5-9_vs_7-8,2,MLP,RBO,AUC,0.6857017543859649
yeast-0-3-5-9_vs_7-8,2,MLP,RBO,G-mean,0.6740815714082983
ecoli-0-6-7_vs_5,4,CART,PAO,Precision,0.875
ecoli-0-6-7_vs_5,4,CART,PAO,Recall,0.7
ecoli-0-6-7_vs_5,4,CART,PAO,AUC,0.845
ecoli-0-6-7_vs_5,4,CART,PAO,G-mean,0.8324662155306964
ecoli-0-6-7_vs_5,4,KNN,PAO,Precision,0.5714285714285714
ecoli-0-6-7_vs_5,4,KNN,PAO,Recall,0.8
ecoli-0-6-7_vs_5,4,KNN,PAO,AUC,0.87
ecoli-0-6-7_vs_5,4,KNN,PAO,G-mean,0.867179335547152
ecoli-0-6-7_vs_5,4,SVM,PAO,Precision,0.6666666666666666
ecoli-0-6-7_vs_5,4,SVM,PAO,Recall,0.8
ecoli-0-6-7_vs_5,4,SVM,PAO,AUC,0.88
ecoli-0-6-7_vs_5,4,SVM,PAO,G-mean,0.8763560920082658
ecoli-0-6-7_vs_5,4,MLP,PAO,Precision,0.6428571428571429
ecoli-0-6-7_vs_5,4,MLP,PAO,Recall,0.9
ecoli-0-6-7_vs_5,4,MLP,PAO,AUC,0.925
ecoli-0-6-7_vs_5,4,MLP,PAO,G-mean,0.9246621004453464
vehicle3,0,CART,PAU,Precision,0.3068181818181818
vehicle3,0,CART,PAU,Recall,0.7641509433962265
vehicle3,0,CART,PAU,AUC,0.5934319385750848
vehicle3,0,CART,PAU,G-mean,0.5683453942048464
vehicle3,0,KNN,PAU,Precision,0.4213483146067416
vehicle3,0,KNN,PAU,Recall,0.7075471698113207
vehicle3,0,KNN,PAU,AUC,0.6913130170823165
vehicle3,0,KNN,PAU,G-mean,0.6911223769149908
vehicle3,0,SVM,PAU,Precision,0.4260089686098655
vehicle3,0,SVM,PAU,Recall,0.8962264150943396
vehicle3,0,SVM,PAU,AUC,0.7462204630676748
vehicle3,0,SVM,PAU,G-mean,0.730987820594508
vehicle3,0,MLP,PAU,Precision,0.4708994708994709
vehicle3,0,MLP,PAU,Recall,0.8396226415094341
vehicle3,0,MLP,PAU,AUC,0.7620826141301114
vehicle3,0,MLP,PAU,G-mean,0.7581275980423071
winequality-white-3-9_vs_5,2,CART,PAO,Precision,0.13333333333333333
winequality-white-3-9_vs_5,2,CART,PAO,Recall,0.3333333333333333
winequality-white-3-9_vs_5,2,CART,PAO,AUC,0.6488340192043895
winequality-white-3-9_vs_5,2,CART,PAO,G-mean,0.5669611112693844
winequality-white-3-9_vs_5,2,KNN,PAO,Precision,0.12
winequality-white-3-9_vs_5,2,KNN,PAO,Recall,0.25
winequality-white-3-9_vs_5,2,KNN,PAO,AUC,0.6099108367626885
winequality-white-3-9_vs_5,2,KNN,PAO,G-mean,0.4923976222336419
winequality-white-3-9_vs_5,2,SVM,PAO,Precision,0.1153846153846154
winequality-white-3-9_vs_5,2,SVM,PAO,Recall,0.25
winequality-white-3-9_vs_5,2,SVM,PAO,AUC,0.6092249657064472
winequality-white-3-9_vs_5,2,SVM,PAO,G-mean,0.492049268725423
winequality-white-3-9_vs_5,2,MLP,PAO,Precision,0.17391304347826084
winequality-white-3-9_vs_5,2,MLP,PAO,Recall,0.3333333333333333
winequality-white-3-9_vs_5,2,MLP,PAO,AUC,0.6536351165980796
winequality-white-3-9_vs_5,2,MLP,PAO,G-mean,0.5697768276155223
haberman,2,CART,RBO,Precision,0.3191489361702128
haberman,2,CART,RBO,Recall,0.375
haberman,2,CART,RBO,AUC,0.5459070796460177
haberman,2,CART,RBO,G-mean,0.5184643765337338
haberman,2,KNN,RBO,Precision,0.3387096774193548
haberman,2,KNN,RBO,Recall,0.525
haberman,2,KNN,RBO,AUC,0.5810840707964602
haberman,2,KNN,RBO,G-mean,0.5783712253702489
haberman,2,SVM,RBO,Precision,0.4444444444444444
haberman,2,SVM,RBO,Recall,0.6
haberman,2,SVM,RBO,AUC,0.6672566371681417
haberman,2,SVM,RBO,G-mean,0.6638583919796224
haberman,2,MLP,RBO,Precision,0.4225352112676056
haberman,2,MLP,RBO,Recall,0.75
haberman,2,MLP,RBO,AUC,0.6935840707964602
haberman,2,MLP,RBO,G-mean,0.6912858353783117
ecoli-0-1-4-7_vs_2-3-5-6,5,CART,PAU,Precision,0.1348314606741573
ecoli-0-1-4-7_vs_2-3-5-6,5,CART,PAU,Recall,0.8
ecoli-0-1-4-7_vs_2-3-5-6,5,CART,PAU,AUC,0.6483660130718955
ecoli-0-1-4-7_vs_2-3-5-6,5,CART,PAU,G-mean,0.6303852956050234
ecoli-0-1-4-7_vs_2-3-5-6,5,KNN,PAU,Precision,0.40540540540540543
ecoli-0-1-4-7_vs_2-3-5-6,5,KNN,PAU,Recall,1.0
ecoli-0-1-4-7_vs_2-3-5-6,5,KNN,PAU,AUC,0.9281045751633988
ecoli-0-1-4-7_vs_2-3-5-6,5,KNN,PAU,G-mean,0.9253157030585816
ecoli-0-1-4-7_vs_2-3-5-6,5,SVM,PAU,Precision,0.4814814814814815
ecoli-0-1-4-7_vs_2-3-5-6,5,SVM,PAU,Recall,0.8666666666666667
ecoli-0-1-4-7_vs_2-3-5-6,5,SVM,PAU,AUC,0.8875816993464053
ecoli-0-1-4-7_vs_2-3-5-6,5,SVM,PAU,G-mean,0.8873352435368822
ecoli-0-1-4-7_vs_2-3-5-6,5,MLP,PAU,Precision,0.34210526315789475
ecoli-0-1-4-7_vs_2-3-5-6,5,MLP,PAU,Recall,0.8666666666666667
ecoli-0-1-4-7_vs_2-3-5-6,5,MLP,PAU,AUC,0.8516339869281047
ecoli-0-1-4-7_vs_2-3-5-6,5,MLP,PAU,G-mean,0.8515013013677295
ecoli1,7,CART,RBO,Precision,0.8214285714285714
ecoli1,7,CART,RBO,Recall,0.5897435897435898
ecoli1,7,CART,RBO,AUC,0.7754919499105547
ecoli1,7,CART,RBO,G-mean,0.7529178647577421
ecoli1,7,KNN,RBO,Precision,0.6739130434782609
ecoli1,7,KNN,RBO,Recall,0.7948717948717948
ecoli1,7,KNN,RBO,AUC,0.8392963625521764
ecoli1,7,KNN,RBO,G-mean,0.8381198255498588
ecoli1,7,SVM,RBO,Precision,0.6607142857142857
ecoli1,7,SVM,RBO,Recall,0.9487179487179488
ecoli1,7,SVM,RBO,AUC,0.9007155635062611
ecoli1,7,SVM,RBO,G-mean,0.8994355437475163
ecoli1,7,MLP,RBO,Precision,0.6538461538461539
ecoli1,7,MLP,RBO,Recall,0.8717948717948718
ecoli1,7,MLP,RBO,AUC,0.8661299940369707
ecoli1,7,MLP,RBO,G-mean,0.8661114684210521
yeast-0-2-5-6_vs_3-7-8-9,1,CART,PAU,Precision,0.11873350923482848
yeast-0-2-5-6_vs_3-7-8-9,1,CART,PAU,Recall,0.9
yeast-0-2-5-6_vs_3-7-8-9,1,CART,PAU,AUC,0.5805309734513274
yeast-0-2-5-6_vs_3-7-8-9,1,CART,PAU,G-mean,0.4847223454849069
yeast-0-2-5-6_vs_3-7-8-9,1,KNN,PAU,Precision,0.21476510067114093
yeast-0-2-5-6_vs_3-7-8-9,1,KNN,PAU,Recall,0.64
yeast-0-2-5-6_vs_3-7-8-9,1,KNN,PAU,AUC,0.6905752212389381
yeast-0-2-5-6_vs_3-7-8-9,1,KNN,PAU,G-mean,0.6887207584978405
yeast-0-2-5-6_vs_3-7-8-9,1,SVM,PAU,Precision,0.2682926829268293
yeast-0-2-5-6_vs_3-7-8-9,1,SVM,PAU,Recall,0.66
yeast-0-2-5-6_vs_3-7-8-9,1,SVM,PAU,AUC,0.7304424778761063
yeast-0-2-5-6_vs_3-7-8-9,1,SVM,PAU,G-mean,0.7270378743892647
yeast-0-2-5-6_vs_3-7-8-9,1,MLP,PAU,Precision,0.2222222222222222
yeast-0-2-5-6_vs_3-7-8-9,1,MLP,PAU,Recall,0.64
yeast-0-2-5-6_vs_3-7-8-9,1,MLP,PAU,AUC,0.6961061946902656
yeast-0-2-5-6_vs_3-7-8-9,1,MLP,PAU,G-mean,0.6938414294372597
ecoli-0-1_vs_2-3-5,0,CART,RBU,Precision,0.2432432432432433
ecoli-0-1_vs_2-3-5,0,CART,RBU,Recall,0.75
ecoli-0-1_vs_2-3-5,0,CART,RBU,AUC,0.7477272727272728
ecoli-0-1_vs_2-3-5,0,CART,RBU,G-mean,0.7477238187264794
ecoli-0-1_vs_2-3-5,0,KNN,RBU,Precision,0.6
ecoli-0-1_vs_2-3-5,0,KNN,RBU,Recall,0.75
ecoli-0-1_vs_2-3-5,0,KNN,RBU,AUC,0.8477272727272728
ecoli-0-1_vs_2-3-5,0,KNN,RBU,G-mean,0.8420753583206845
ecoli-0-1_vs_2-3-5,0,SVM,RBU,Precision,0.5882352941176471
ecoli-0-1_vs_2-3-5,0,SVM,RBU,Recall,0.8333333333333334
ecoli-0-1_vs_2-3-5,0,SVM,RBU,AUC,0.8848484848484849
ecoli-0-1_vs_2-3-5,0,SVM,RBU,G-mean,0.8833476270999037
ecoli-0-1_vs_2-3-5,0,MLP,RBU,Precision,0.4166666666666667
ecoli-0-1_vs_2-3-5,0,MLP,RBU,Recall,0.8333333333333334
ecoli-0-1_vs_2-3-5,0,MLP,RBU,AUC,0.8530303030303031
ecoli-0-1_vs_2-3-5,0,MLP,RBU,G-mean,0.8528028654224418
page-blocks-1-3_vs_4,4,CART,RBO,Precision,0.9333333333333332
page-blocks-1-3_vs_4,4,CART,RBO,Recall,1.0
page-blocks-1-3_vs_4,4,CART,RBO,AUC,0.9977477477477478
page-blocks-1-3_vs_4,4,CART,RBO,G-mean,0.997745205699078
page-blocks-1-3_vs_4,4,KNN,RBO,Precision,0.7
page-blocks-1-3_vs_4,4,KNN,RBO,Recall,1.0
page-blocks-1-3_vs_4,4,KNN,RBO,AUC,0.9864864864864864
page-blocks-1-3_vs_4,4,KNN,RBO,G-mean,0.9863939238321436
page-blocks-1-3_vs_4,4,SVM,RBO,Precision,0.6666666666666666
page-blocks-1-3_vs_4,4,SVM,RBO,Recall,0.7142857142857143
page-blocks-1-3_vs_4,4,SVM,RBO,AUC,0.845881595881596
page-blocks-1-3_vs_4,4,SVM,RBO,G-mean,0.8355825501996785
page-blocks-1-3_vs_4,4,MLP,RBO,Precision,1.0
page-blocks-1-3_vs_4,4,MLP,RBO,Recall,1.0
page-blocks-1-3_vs_4,4,MLP,RBO,AUC,1.0
page-blocks-1-3_vs_4,4,MLP,RBO,G-mean,1.0
glass-0-1-6_vs_2,0,CART,RBO,Precision,0.2857142857142857
glass-0-1-6_vs_2,0,CART,RBO,Recall,0.25
glass-0-1-6_vs_2,0,CART,RBO,AUC,0.5965909090909091
glass-0-1-6_vs_2,0,CART,RBO,G-mean,0.4855877413459431
glass-0-1-6_vs_2,0,KNN,RBO,Precision,0.3076923076923077
glass-0-1-6_vs_2,0,KNN,RBO,Recall,0.5
glass-0-1-6_vs_2,0,KNN,RBO,AUC,0.6988636363636364
glass-0-1-6_vs_2,0,KNN,RBO,G-mean,0.6699728624083489
glass-0-1-6_vs_2,0,SVM,RBO,Precision,0.3
glass-0-1-6_vs_2,0,SVM,RBO,Recall,0.75
glass-0-1-6_vs_2,0,SVM,RBO,AUC,0.7954545454545455
glass-0-1-6_vs_2,0,SVM,RBO,G-mean,0.7941547822570977
glass-0-1-6_vs_2,0,MLP,RBO,Precision,0.4
glass-0-1-6_vs_2,0,MLP,RBO,Recall,0.75
glass-0-1-6_vs_2,0,MLP,RBO,AUC,0.8238636363636364
glass-0-1-6_vs_2,0,MLP,RBO,G-mean,0.820545827206168
pima,7,CART,RBO,Precision,0.5576923076923077
pima,7,CART,RBO,Recall,0.6492537313432836
pima,7,CART,RBO,AUC,0.6866268656716419
pima,7,CART,RBO,G-mean,0.685609000445981
pima,7,KNN,RBO,Precision,0.5357142857142857
pima,7,KNN,RBO,Recall,0.6716417910447762
pima,7,KNN,RBO,AUC,0.6798208955223879
pima,7,KNN,RBO,G-mean,0.6797716912602393
pima,7,SVM,RBO,Precision,0.6167664670658682
pima,7,SVM,RBO,Recall,0.7686567164179104
pima,7,SVM,RBO,AUC,0.7563283582089552
pima,7,SVM,RBO,G-mean,0.7562278737357712
pima,7,MLP,RBO,Precision,0.6226415094339622
pima,7,MLP,RBO,Recall,0.7388059701492538
pima,7,MLP,RBO,AUC,0.7494029850746269
pima,7,MLP,RBO,G-mean,0.749328057204208
ecoli-0-1-4-7_vs_2-3-5-6,0,CART,RBU,Precision,0.14516129032258066
ecoli-0-1-4-7_vs_2-3-5-6,0,CART,RBU,Recall,0.6428571428571429
ecoli-0-1-4-7_vs_2-3-5-6,0,CART,RBU,AUC,0.6493506493506493
ecoli-0-1-4-7_vs_2-3-5-6,0,CART,RBU,G-mean,0.649318181006453
ecoli-0-1-4-7_vs_2-3-5-6,0,KNN,RBU,Precision,0.3142857142857143
ecoli-0-1-4-7_vs_2-3-5-6,0,KNN,RBU,Recall,0.7857142857142857
ecoli-0-1-4-7_vs_2-3-5-6,0,KNN,RBU,AUC,0.8149350649350648
ecoli-0-1-4-7_vs_2-3-5-6,0,KNN,RBU,G-mean,0.8144110179279557
ecoli-0-1-4-7_vs_2-3-5-6,0,SVM,RBU,Precision,0.21153846153846154
ecoli-0-1-4-7_vs_2-3-5-6,0,SVM,RBU,Recall,0.7857142857142857
ecoli-0-1-4-7_vs_2-3-5-6,0,SVM,RBU,AUC,0.7597402597402597
ecoli-0-1-4-7_vs_2-3-5-6,0,SVM,RBU,G-mean,0.7592961294810463
ecoli-0-1-4-7_vs_2-3-5-6,0,MLP,RBU,Precision,0.18333333333333326
ecoli-0-1-4-7_vs_2-3-5-6,0,MLP,RBU,Recall,0.7857142857142857
ecoli-0-1-4-7_vs_2-3-5-6,0,MLP,RBU,AUC,0.7337662337662337
ecoli-0-1-4-7_vs_2-3-5-6,0,MLP,RBU,G-mean,0.7319250547113998
zoo-3,7,CART,PAO,Precision,1.0
zoo-3,7,CART,PAO,Recall,0.5
zoo-3,7,CART,PAO,AUC,0.75
zoo-3,7,CART,PAO,G-mean,0.7071067811865476
zoo-3,7,KNN,PAO,Precision,0.25
zoo-3,7,KNN,PAO,Recall,0.5
zoo-3,7,KNN,PAO,AUC,0.71875
zoo-3,7,KNN,PAO,G-mean,0.6846531968814576
zoo-3,7,SVM,PAO,Precision,0.0
zoo-3,7,SVM,PAO,Recall,0.0
zoo-3,7,SVM,PAO,AUC,0.4895833333333333
zoo-3,7,SVM,PAO,G-mean,0.0
zoo-3,7,MLP,PAO,Precision,0.5
zoo-3,7,MLP,PAO,Recall,0.5
zoo-3,7,MLP,PAO,AUC,0.7395833333333334
zoo-3,7,MLP,PAO,G-mean,0.699702317656111
ecoli-0-1-4-7_vs_2-3-5-6,4,CART,RBO,Precision,0.6
ecoli-0-1-4-7_vs_2-3-5-6,4,CART,RBO,Recall,0.6428571428571429
ecoli-0-1-4-7_vs_2-3-5-6,4,CART,RBO,AUC,0.8019480519480519
ecoli-0-1-4-7_vs_2-3-5-6,4,CART,RBO,G-mean,0.7860093896817668
ecoli-0-1-4-7_vs_2-3-5-6,4,KNN,RBO,Precision,0.7142857142857143
ecoli-0-1-4-7_vs_2-3-5-6,4,KNN,RBO,Recall,0.7142857142857143
ecoli-0-1-4-7_vs_2-3-5-6,4,KNN,RBO,AUC,0.8441558441558442
ecoli-0-1-4-7_vs_2-3-5-6,4,KNN,RBO,G-mean,0.8341060116016318
ecoli-0-1-4-7_vs_2-3-5-6,4,SVM,RBO,Precision,0.7692307692307693
ecoli-0-1-4-7_vs_2-3-5-6,4,SVM,RBO,Recall,0.7142857142857143
ecoli-0-1-4-7_vs_2-3-5-6,4,SVM,RBO,AUC,0.8474025974025975
ecoli-0-1-4-7_vs_2-3-5-6,4,SVM,RBO,G-mean,0.8368817464336971
ecoli-0-1-4-7_vs_2-3-5-6,4,MLP,RBO,Precision,0.6875
ecoli-0-1-4-7_vs_2-3-5-6,4,MLP,RBO,Recall,0.7857142857142857
ecoli-0-1-4-7_vs_2-3-5-6,4,MLP,RBO,AUC,0.8766233766233766
ecoli-0-1-4-7_vs_2-3-5-6,4,MLP,RBO,G-mean,0.8718968296952645
flare-F,2,CART,RBO,Precision,0.16666666666666666
flare-F,2,CART,RBO,Recall,0.14285714285714285
flare-F,2,CART,RBO,AUC,0.5567801339285714
flare-F,2,CART,RBO,G-mean,0.37238672774415577
flare-F,2,KNN,RBO,Precision,0.2
flare-F,2,KNN,RBO,Recall,0.42857142857142855
flare-F,2,KNN,RBO,AUC,0.6791294642857143
flare-F,2,KNN,RBO,G-mean,0.6312190586476298
flare-F,2,SVM,RBO,Precision,0.1506849315068493
flare-F,2,SVM,RBO,Recall,0.5238095238095238
flare-F,2,SVM,RBO,AUC,0.7013578869047619
flare-F,2,SVM,RBO,G-mean,0.6785126854272617
flare-F,2,MLP,RBO,Precision,0.17857142857142858
flare-F,2,MLP,RBO,Recall,0.4761904761904762
flare-F,2,MLP,RBO,AUC,0.6931733630952381
